N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
32,key15,15,0.0833,24,62.4,64.0,97.5,0.05,0.02,1.96,2.03,6,0,0,56,none(offered-bound)
32,key15,15,0.0667,30,62.4,64.0,97.5,0.05,0.02,1.91,1.98,6,0,0,36,none(offered-bound)
50,key15,15,2.0000,1,97.4,100.0,97.4,0.28,0.31,2.00,2.59,12,18,0,3836,none(offered-bound)
50,key15,15,1.0000,2,97.5,100.0,97.5,0.30,0.19,1.93,2.42,12,9,0,1258,none(offered-bound)
50,key15,15,0.6667,3,97.5,100.0,97.5,0.24,0.17,1.93,2.34,10,6,0,781,none(offered-bound)
50,key15,15,0.5000,4,96.9,100.0,96.9,0.34,0.30,1.90,2.54,10,4,0,647,none(offered-bound)
50,key15,15,0.3333,6,97.4,100.0,97.4,0.32,0.47,2.01,2.80,10,3,0,597,none(offered-bound)
50,key15,15,0.2500,8,97.5,100.0,97.5,0.32,0.09,1.94,2.35,11,2,0,299,none(offered-bound)
50,key15,15,0.1667,12,97.5,100.0,97.5,0.25,0.14,1.90,2.29,10,1,0,168,none(offered-bound)
50,key15,15,0.1333,15,96.9,100.0,96.9,0.19,0.03,2.04,2.26,10,1,0,250,none(offered-bound)
50,key15,15,0.0833,24,97.5,100.0,97.5,0.25,0.02,1.98,2.25,13,1,0,98,none(offered-bound)
50,key15,15,0.0667,30,97.4,100.0,97.4,0.32,0.02,2.01,2.35,11,0,0,73,none(offered-bound)
75,key15,15,2.0000,1,145.4,150.0,96.9,1.27,2.13,1.91,5.31,16,24,0,3863,none(offered-bound)
75,key15,15,1.0000,2,145.3,150.0,96.9,1.13,1.60,2.05,4.78,16,13,0,2727,none(offered-bound)
75,key15,15,0.6667,3,146.1,150.0,97.4,1.30,1.24,1.96,4.50,18,7,0,1209,none(offered-bound)
75,key15,15,0.5000,4,145.3,150.0,96.9,1.00,1.50,1.89,4.39,14,6,0,717,none(offered-bound)
75,key15,15,0.3333,6,145.3,150.0,96.9,1.09,0.63,2.03,3.75,15,4,0,947,none(offered-bound)
75,key15,15,0.2500,8,145.4,150.0,96.9,1.06,0.62,1.97,3.65,15,2,0,494,none(offered-bound)
75,key15,15,0.1667,12,146.2,150.0,97.5,1.06,0.56,1.97,3.59,15,2,0,291,none(offered-bound)
75,key15,15,0.1333,15,145.3,150.0,96.9,1.06,0.46,1.97,3.49,16,2,0,257,none(offered-bound)
75,key15,15,0.0833,24,145.3,150.0,96.9,1.63,0.37,2.11,4.11,16,1,0,224,none(offered-bound)
75,key15,15,0.0667,30,146.2,150.0,97.5,1.09,0.08,2.05,3.22,18,0,0,120,none(offered-bound)
100,key15,15,2.0000,1,192.6,200.0,96.3,2.92,5.10,1.90,9.92,20,30,0,3969,none(offered-bound)
100,key15,15,1.0000,2,192.5,200.0,96.2,2.51,4.81,2.06,9.38,21,16,0,3771,none(offered-bound)
100,key15,15,0.6667,3,192.7,200.0,96.3,2.57,3.00,1.98,7.55,20,10,0,1795,none(offered-bound)
100,key15,15,0.5000,4,193.9,200.0,97.0,3.18,3.31,1.97,8.46,21,8,0,1178,none(offered-bound)
100,key15,15,0.3333,6,192.6,200.0,96.3,2.51,2.25,1.96,6.72,21,5,0,873,none(offered-bound)
100,key15,15,0.2500,8,192.6,200.0,96.3,2.33,1.75,2.08,6.16,21,4,0,898,none(offered-bound)
100,key15,15,0.1667,12,193.9,200.0,97.0,2.50,1.94,2.00,6.44,23,3,0,393,none(offered-bound)
100,key15,15,0.1333,15,192.7,200.0,96.3,2.50,1.44,1.95,5.89,19,2,0,265,none(offered-bound)
